keyword,provider,is_brand,course_id,title,position,page
Agile Arbeitsmethoden,Leecon TS GmbH,0,10410331349,"Projektmanagement mit PRINCE2 Agile®, Informationssicherheit nach ISO 27001 und digitale Arbeitsmethoden in KMU",1,1
Agile Arbeitsmethoden,OneCareer,0,10397228000,Agile Arbeitsmethoden und Medienproduktionsschritte,2,1
Agile Arbeitsmethoden,mycareernow,0,10396861546,"Projektmanagement und virtuelle Assistenz mit Datenschutz, KI-Tools und agilen Arbeitsmethoden",3,1
Agile Arbeitsmethoden,ecomex GmbH & Co. KG,1,10338436236,KI-Anwendung & Agile Arbeitsmethoden,4,1
Agile Arbeitsmethoden,A-Leecon GmbH,0,10393684732,"IT-Service-Management mit ITIL 4 und agilen Arbeitsmethoden: Monitoring, Support, Fulfilment und Business Agility",5,1
Agile Arbeitsmethoden,Leecon TS GmbH,0,10397460773,Digitale Arbeitsmethoden und KI-Grundlagen für Projektmanager in KMU · Agentic-Workflows,6,1
Agile Arbeitsmethoden,MESH® ACADEMY,0,10335130804,Spezialist:in für agile Arbeitsmethoden und Teamcoaching,7,1
Agile Arbeitsmethoden,IU Akademie IU Internationale Hochschule,0,10308881471,Agile Change Masterclass,8,1
Agile Arbeitsmethoden,IU Akademie IU Internationale Hochschule,0,10315110780,Agile Change Coaching,9,1
Agile Arbeitsmethoden,IU Akademie IU Internationale Hochschule,0,10398647162,Agiles Projektmanagement,10,1
Agile Arbeitsmethoden,IU Akademie IU Internationale Hochschule,0,10308889954,Agile Transformation Specialization,11,1
Agile Arbeitsmethoden,IU Akademie IU Internationale Hochschule,0,10308881507,Agile Project Leadership,12,1
Agile Arbeitsmethoden,Berger Bildungsinstitut GmbH,0,10403937163,Agile Personalarbeit und Projektmanagement im HR-Bereich,13,1
Agile Arbeitsmethoden,Berger Bildungsinstitut GmbH,0,10403910398,Agile Methoden im Personalmanagement und HR-Projektarbeit,14,1
Agile Arbeitsmethoden,New Horizons Mitte,0,10410135042,Teamleader - Agiles Projektmanagement und MS Project,15,1
Agile Arbeitsmethoden,New Horizons Nord / West,0,10410171081,Teamleader - Agiles Projektmanagement und MS Project,16,1
Agile Arbeitsmethoden,Digitale Leute School,0,10369947887,Agiles Arbeiten im Produktmanagement,17,1
Agile Arbeitsmethoden,New Horizons Akademie,0,10409838259,Teamleader - Agiles Projektmanagement und MS Project,18,1
Agile Arbeitsmethoden,IU Akademie IU Internationale Hochschule,0,10308886704,Agile Team Management,19,1
Agile Arbeitsmethoden,Berger Bildungsinstitut GmbH,0,10403910338,Agiles HR-Management und Steuerung von Personalprojekten,20,1
Agile Arbeitsmethoden,A-Leecon GmbH,0,10393678120,KI und Automatisierung und Agile Coach,21,2
Agile Arbeitsmethoden,A-Leecon GmbH,0,10393782682,ChatGPT und Agiles Coaching,22,2
Agile Arbeitsmethoden,Berger Bildungsinstitut GmbH,0,10403912208,Agile HR-Prozessgestaltung und Projektarbeit mit Scrum,23,2
Agile Arbeitsmethoden,New Horizons Nord,0,10409826781,Teamleader - Agiles Projektmanagement und MS Project,24,2
Agile Arbeitsmethoden,A-Leecon GmbH,0,10393666437,KI-gestützte Datenanalyse und Agile Coach,25,2
AI für Anfänger,Academy NH Süd,0,10407824633,Datenanalyse + Artificial Intelligence (AI): Data Analyst - Grundlagen für Anfänger 2.0 mit Künstlicher Intelligenz (KI),1,1
AI für Anfänger,Academy NH Süd,0,10407814173,Datenanalyse + Artificial Intelligence (AI): Data Analyst - Grundlagen für Anfänger 5.0 mit Künstlicher Intelligenz (KI),2,1
AI für Anfänger,New Horizons München - IT Computer und Business Trainings,0,10405681826,Datenanalyse + Artificial Intelligence (AI): Data Analyst - Grundlagen für Anfänger 2.0 mit Künstlicher Intelligenz (KI),3,1
AI für Anfänger,New Horizons München - IT Computer und Business Trainings,0,10405685013,Datenanalyse + Artificial Intelligence (AI): Data Analyst - Grundlagen für Anfänger 5.0 mit Künstlicher Intelligenz (KI),4,1
AI für Anfänger,New Horizons München - IT Computer und BusinessTraining Trainings,0,10405669422,Python Intensivkurs von Anfänger bis Profi,5,1
AI für Anfänger,Academy NH Süd,0,10407830649,Python Grundlagenkurs für Anfänger mit Übungen,6,1
AI für Anfänger,New Horizons München - IT Computer und BusinessTraining Trainings,0,10405655008,Python Grundlagenkurs für Anfänger mit Übungen,7,1
AI für Anfänger,New Horizons München - IT Computer und BusinessTraining Trainings,0,10373009439,Programmierung : Python für Anfänger,8,1
AI für Anfänger,Academy NH Süd,0,10407828183,Python Intensivkurs von Anfänger bis Profi,9,1
AI für Anfänger,Academy NH Süd,0,10406874609,Python Programmieren für Anfänger,10,1
AI für Anfänger,Academy NH Süd,0,10407818784,Künstliche Intelligenz für Anfänger,11,1
AI für Anfänger,New Horizons München - IT Computer und BusinessTraining Trainings,0,10372996742,Python Programmieren für Anfänger,12,1
AI für Anfänger,Academy NH Süd,0,10406895383,Programmierung : Python für Anfänger,13,1
AI für Anfänger,New Horizons München - IT Computer und BusinessTraining Trainings,0,10373007355,Künstliche Intelligenz für Anfänger,14,1
AI für Anfänger,Academy NH Süd,0,10407765676,PowerPoint-Tipps für Anfänger,15,1
AI für Anfänger,New Horizons München - IT Computer und BusinessTraining Trainings,0,10405692725,PowerPoint-Tipps für Anfänger,16,1
AI für Anfänger,brainymotion,0,10406660622,KI-Administrator*in mit Zusatzqualifikation Erstellen von Web-Apps mit ASP.NET Core für Anfänger,17,1
AI für Anfänger,Academy NH Süd,0,10407824036,Datenanalyse Intensivkurs - Von Anfänger bis Profi,18,1
AI für Anfänger,New Horizons München - IT Computer und BusinessTraining Trainings,0,10405658143,Datenanalyse Intensivkurs - Von Anfänger bis Profi,19,1
AI für Anfänger,OneCareer,0,10401044666,"KI inklusive AI Act, Datenschutz und rechtlicher Grundlagen",20,1
AI für Anfänger,Academy NH Süd,0,10407806254,Windows Server Intensivkurs für Administratoren von Anfänger bis Profi,21,2
AI für Anfänger,New Horizons München - IT Computer und BusinessTraining Trainings,0,10405636975,Windows Server Intensivkurs für Administratoren von Anfänger bis Profi,22,2
AI für Anfänger,Academy NH Süd,0,10407785246,Cloud Computing Intensivkurs mit Microsoft Azure von Anfänger bis Profi,23,2
AI für Anfänger,New Horizons München - IT Computer und BusinessTraining Trainings,0,10405644415,Cloud Computing Intensivkurs mit Microsoft Azure von Anfänger bis Profi,24,2
AI für Anfänger,New Horizons München - IT Computer und BusinessTraining Trainings,0,10357133483,Data Analyst - Daten Analyse für Anfänger,25,2
AI Marketing,neuefische GmbH,0,10334192861,Application Manager im Marketing (mit AI),1,1
AI Marketing,neuefische GmbH,0,10334192183,SEO SEA Strategie in der Marketing (mit AI),2,1
AI Marketing,New Horizons Hamburg / Bremen,0,10397104244,Künstliche Intelligenz - KI / AI - AI + Marketing,3,1
AI Marketing,velpTEC GmbH,0,10404189692,AI Performance Marketing,4,1
AI Marketing,velpTEC GmbH,0,10405891842,AI Marketing Optimization,5,1
AI Marketing,Talentspring Academy Group,0,10407911007,AI Marketing Specialist,6,1
AI Marketing,Talentspring Academy Group,0,10411352356,Generative AI und Marketing,7,1
AI Marketing,GrandEdu GmbH,0,10385228069,AI Marketing Speaker,8,1
AI Marketing,velpTEC GmbH,0,10405924757,AI Content Marketing,9,1
AI Marketing,Masters of Digital GmbH,0,10409566996,Influencer Marketing mit AI,10,1
AI Marketing,Academy NH Süd,0,10407798094,AI Marketing Kurs mit AI Marketing und Context Engineering Praxis,11,1
AI Marketing,neuefische GmbH,0,10334192487,Marketing Automatisierung mit AI,12,1
AI Marketing,ecomex GmbH & Co. KG,1,10392169900,KI- und Online Marketing Manager,13,1
AI Marketing,Agile Heroes GmbH,0,10405609884,AI Marketing Manager,14,1
AI Marketing,ecomex GmbH & Co. KG,1,10392170158,KI- und Online Marketing Manager Advanced,15,1
AI Marketing,New Horizons München - IT Computer und BusinessTraining Trainings,0,10405629802,AI Marketing Kurs mit AI Marketing und Context Engineering Praxis,16,1
AI Marketing,neuefische GmbH,0,10332080245,Datenvisualisierung mit AI im Tableau,17,1
AI Marketing,Talentspring Academy Group,0,10411255333,AI Engineer,18,1
AI Marketing,A-Leecon GmbH,0,10389257219,Marketing mit KI/AI,19,1
AI Marketing,neuefische GmbH,0,10334195593,Marketingkampagnen design mit AI,20,1
AI Marketing,velpTEC GmbH,0,10405847795,Marketing Automation with AI,21,2
AI Marketing,Academy NH Süd,0,10407801780,KI Kurs für Business mit AI Sales und AI Marketing Praxis,22,2
AI Marketing,velpTEC GmbH,0,10405837047,AI based Content-Marketing,23,2
AI Marketing,Masters of Digital GmbH,0,10405938096,AI Advertising im Online Marketing,24,2
AI Marketing,Karriere Tutor GmbH,0,99101585,AI-Driven Marketing Manager,25,2
AI Weiterbildung,ecomex GmbH & Co. KG,1,10396774017,Weiterbildung im E-Commerce mit KI,1,1
AI Weiterbildung,Smart Future Campus GmbH,0,10350394560,Weiterbildung in Webscraping AI: Machine Learning und REST-API,2,1
AI Weiterbildung,StackFuel GmbH,0,10397827251,AI Weiterbildung und Programmieren mit Python,3,1
AI Weiterbildung,StackFuel GmbH,0,10397782624,AI Weiterbildung und Data Analytics,4,1
AI Weiterbildung,StackFuel GmbH,0,10397826924,AI Weiterbildung und Business Intelligence,5,1
AI Weiterbildung,StackFuel GmbH,0,10397783397,AI Weiterbildung und Data Science,6,1
AI Weiterbildung,neuefische GmbH,0,10332074542,Performance Marketing mit AI Weiterbildung,7,1
