term,courses,providers
Marketing,2507,177
Manager,1126,161
Social,1106,162
Media,1059,158
Grundlagen,922,149
Projektmanagement,820,57
Inkl,776,43
Scrum,746,45
Management,673,106
Intelligenz,649,121
Digital,639,145
Seo,584,134
Content,545,150
Künstliche,539,119
Zusatzqualifikation,501,44
E-Commerce,485,111
Basics,476,46
Agile,461,38
Design,457,101
Aufbaukurs,421,106
Microsoft,409,43
Digitale,386,69
Data,364,57
Kommunikation,362,90
Schwerpunkt,345,65
Projektmanager,333,36
Geprüfte,332,49
Engineering,314,61
Prompt,307,53
Masterclass,300,99
Einführung,296,71
Product,290,31
Nach,287,24
Adobe,280,43
Starter,274,90
Itil,270,16
Psm,256,10
Sea,250,29
Thinking,249,27
Datenanalyse,248,38
Python,247,37
Owner,247,27
Performance,244,37
Master,243,19
Google,239,46
Business,238,60
Professional,237,39
Office,236,35
Sem,234,106
Wordpress,229,91
Kmu,221,16
Social-Media-Marketing,220,98
Agiles,216,42
Wirtschaftsenglisch,215,68
Certified,211,56
Chatgpt,211,31
Ads,205,30
Ki-Manager,204,102
Online-Marketing,203,110
Methoden,200,26
