snapshot_date,provider,slug,is_brand,focus,courses,top_terms
2026-08-17,mycareernow,mycareernow,0,1,711,Marketing; Scrum; Social; Media; Social Media; Seo; Sea; Seo Sea
2026-08-17,A-Leecon GmbH,a-leecon-gmbh,0,1,594,Projektmanagement; Itil; Marketing; Ki-Gestützte; Agile; Prompt; Engineering; Prompt Engineering
2026-08-17,OneCareer,onecareer,0,1,526,Marketing; Social; Media; Social Media; E-Commerce; Manager; Seo; Google
2026-08-17,Karriere Tutor GmbH,karriere-tutor-gmbh,0,1,468,Marketing; Manager; E-Commerce; Storytelling; Marketing Manager; Media; Content; Inkl
2026-08-17,velpTEC GmbH,velptec-gmbh,0,1,409,Marketing; Content; Social; Wordpress; Media; E-Commerce; Social Media; Content Marketing
2026-08-17,Masters of Digital GmbH,masters-of-digital-gmbh,0,1,381,Marketing; Content; Social; Media; Social Media; E-Commerce; Seo; Manager
2026-08-17,Distart Education GmbH,distart-education-gmbh,0,1,295,Marketing; Schwerpunkt; Management; Marketing Schwerpunkt; Social; Media; Social Media; Content
2026-08-17,New Horizons München - IT Computer und BusinessTraining Trainings,new-horizons-m-nchen-it-computer-und-businesstraining-trainings,0,1,286,Microsoft; Praxis; Office; Intelligenz; Python; Anwendungen; Powerpoint; Grundlagen
2026-08-17,WBS TRAINING SE,wbs-training-se,0,1,280,Sap; Hana; Sap Hana; Manager; Finanzbuchhaltung; Business; Praxiswerkstatt; Arbeiten
2026-08-17,Learning Digital Academy GmbH,learning-digital-academy-gmbh,0,1,270,Marketing; Google; Social; Content; Media; Social Media; Data; Design
2026-08-17,GFN GmbH,gfn-gmbh,0,1,259,Inkl; Zertifizierung; Sap; Microsoft; Marketing; Scrum; Itil; Prince2
2026-08-17,IU Akademie IU Internationale Hochschule,iu-akademie-iu-internationale-hochschule,0,1,166,Marketing; Management; Masterclass; Projektmanagement; Künstliche; Intelligenz; Künstliche Intelligenz; Social
2026-08-17,Talentspring Academy Group,talentspring-academy-group,0,1,150,Marketing; E-Commerce; Seo; Manager; Vertrieb; Ki-Gestützte; Automatisierung; Webdesign
2026-08-17,DCI Digital Career Institute GmbH,dci-digital-career-institute-gmbh,0,1,134,Marketing; It-Consultant; It-Consultant Marketing; Grundlagen; Content; Media; Growth; Social
2026-08-17,GrandEdu GmbH,grandedu-gmbh,0,1,109,Marketing; Manager; Social; Media; Social Media; Sem; Content; Schwerpunkt
2026-08-17,Digitale Leute School,digitale-leute-school,0,1,105,Vibe; Coding; Vibe Coding; Lernen; Product; Grundlagen; Manager; Claude
2026-08-17,COMCAVE.COLLEGE GmbH,comcave-college-gmbh,0,1,92,Marketing; Prompt; Manager; Engineering; Prompt Engineering; Management; Chatgpt; Content
2026-08-17,Mentify Learn GmbH,mentify-learn-gmbh,0,1,85,Amazon; E-Commerce; Launch; Advertising; Automation; Ppc; Marketplace; Amazon Advertising
2026-08-17,alfatraining Bildungszentrum GmbH,alfatraining-bildungszentrum-gmbh,0,1,82,Manager; Marketing; Design; Thinking; Design Thinking; Marketing Manager; Webdesign; Content
2026-08-17,SMD Performance Media,smd-performance-media,0,1,66,Marketing; Intensivkurs; Social; Manager; Media; Social Media; E-Commerce; Performance
2026-08-17,Bildung Next Level GmbH,bildung-next-level-gmbh,0,1,54,Marketing; Content; Performance; Content Marketing; Performance Marketing; Social; Webdesign; Media
2026-08-17,New Horizons München - IT Computer und Business Trainings,new-horizons-m-nchen-it-computer-und-business-trainings,0,1,27,Intelligence; Artificial; Artificial Intelligence; Grundlagen; Data; Intelligenz; Künstlicher; Künstlicher Intelligenz
2026-08-17,OMR Education GmbH,omr-education-gmbh,0,1,26,Marketing; Modulare; Demand; Digital; Digital Marketing; Instagram; Demand Digital; Modulare Digital
2026-08-17,GrandEdu Media,grandedu-media,0,1,9,Ki-Manager; Manager; Junior; B2B-; Applied; Practice; Level; Applied Practice
2026-08-17,Habmann AufstiegsAkademie,habmann-aufstiegsakademie,0,0,643,Digitale; Manager; Nachhaltige; Coach; Digitaler; Management; Digital; Business
2026-08-17,Akademie Überlingen,akademie-berlingen,0,0,531,Inkl; Toeic-Zertifikat; International; International Toeic-Zertifikat; Icdl; Professional; Icdl Professional; Projektmanagement
2026-08-17,Lecturio GmbH,lecturio-gmbh,0,0,526,Basics; Grundlagen; Geprüfte; Aufbaukurs; Microsoft; Nach; Adobe; Inkl
2026-08-17,Bildungszentrum des Handels e. V.,bildungszentrum-des-handels-e-v,0,0,500,Basics; Grundlagen; Geprüfte; Aufbaukurs; Microsoft; Nach; Adobe; Inkl
2026-08-17,LearnWise GmbH,learnwise-gmbh,0,0,500,Basics; Grundlagen; Geprüfte; Aufbaukurs; Microsoft; Nach; Adobe; Inkl
2026-08-17,QZA UG (haftungsbeschränkt),qza-ug-haftungsbeschr-nkt,0,0,500,Basics; Grundlagen; Geprüfte; Aufbaukurs; Nach; Microsoft; Adobe; Inkl
2026-08-17,welcome gGmbH,welcome-ggmbh,0,0,498,Basics; Grundlagen; Geprüfte; Aufbaukurs; Microsoft; Nach; Adobe; Inkl
2026-08-17,Lernen fördern e. V.,lernen-f-rdern-e-v,0,0,478,Basics; Geprüfte; Grundlagen; Aufbaukurs; Microsoft; Nach; Adobe; Zusatzqualifikation
2026-08-17,WTA-Bildung,wta-bildung,0,0,478,Basics; Geprüfte; Grundlagen; Aufbaukurs; Nach; Microsoft; Adobe; Inkl
2026-08-17,Akademie für Bildung & Beruf,akademie-f-r-bildung-beruf,0,0,425,Basics; Grundlagen; Aufbaukurs; Nach; Microsoft; Adobe; Cgi; Inkl
2026-08-17,Institut für Bildung & Beruf,institut-f-r-bildung-beruf,0,0,423,Basics; Grundlagen; Aufbaukurs; Nach; Microsoft; Adobe; Cgi; Wirtschaftsenglisch
2026-08-17,Kolping Akademie Bamberg,kolping-akademie-bamberg,0,0,421,Basics; Grundlagen; Aufbaukurs; Nach; Microsoft; Adobe; Cgi; Wirtschaftsenglisch
2026-08-17,Kreisvolkshochschule Uelzen/Lüchow-Dannenberg,kreisvolkshochschule-uelzen-l-chow-dannenberg,0,0,421,Basics; Grundlagen; Aufbaukurs; Nach; Microsoft; Adobe; Cgi; Wirtschaftsenglisch
2026-08-17,Academy NH Süd,academy-nh-s-d,0,0,311,Microsoft; Office; Praxis; Intelligenz; Intelligence; Grundlagen; Artificial; Artificial Intelligence
2026-08-17,NordWest Training UG (haftungsbeschränkt),nordwest-training-ug-haftungsbeschr-nkt,0,0,302,Geprüfte; Grundlagen; Nach; Zusatzqualifikation; Inkl; Wirtschaftsenglisch; Pädagogische; Pädagogische Zusatzqualifikation
