snapshot_date,keyword,provider,count_top_n,share_pct,best_rank,is_brand,total_results
2026-08-09,Agile Arbeitsmethoden,IU Akademie IU Internationale Hochschule,6,30.0,7,0,283
2026-08-09,Agile Arbeitsmethoden,A-Leecon GmbH,4,20.0,5,0,283
2026-08-09,Agile Arbeitsmethoden,Berger Bildungsinstitut GmbH,4,20.0,12,0,283
2026-08-09,Agile Arbeitsmethoden,OneCareer,2,10.0,1,0,283
2026-08-09,Agile Arbeitsmethoden,Leecon TS GmbH,2,10.0,2,0,283
2026-08-09,Agile Arbeitsmethoden,ecomex GmbH & Co. KG,1,5.0,3,1,283
2026-08-09,Agile Arbeitsmethoden,mycareernow,1,5.0,4,0,283
2026-08-09,AI für Anfänger,Academy NH Süd,10,50.0,2,0,683
2026-08-09,AI für Anfänger,New Horizons München - IT Computer und BusinessTraining Trainings,6,30.0,5,0,683
2026-08-09,AI für Anfänger,New Horizons München - IT Computer und Business Trainings,2,10.0,1,0,683
2026-08-09,AI für Anfänger,brainymotion,1,5.0,18,0,683
2026-08-09,AI für Anfänger,OneCareer,1,5.0,19,0,683
2026-08-09,AI Marketing,velpTEC GmbH,8,40.0,1,0,919
2026-08-09,AI Marketing,Academy NH Süd,2,10.0,9,0,919
2026-08-09,AI Marketing,New Horizons Hamburg / Bremen,1,5.0,3,0,919
2026-08-09,AI Marketing,Talentspring Academy Group,1,5.0,5,0,919
2026-08-09,AI Marketing,GrandEdu GmbH,1,5.0,6,0,919
2026-08-09,AI Marketing,Liora,1,5.0,7,0,919
2026-08-09,AI Marketing,New Horizons München - IT Computer und BusinessTraining Trainings,1,5.0,8,0,919
2026-08-09,AI Marketing,Distart Education GmbH,1,5.0,10,0,919
2026-08-09,AI Marketing,Agile Heroes GmbH,1,5.0,11,0,919
2026-08-09,AI Marketing,A-Leecon GmbH,1,5.0,12,0,919
2026-08-09,AI Marketing,Karriere Tutor GmbH,1,5.0,13,0,919
2026-08-09,AI Marketing,Masters of Digital GmbH,1,5.0,15,0,919
2026-08-09,AI Weiterbildung,Codeverge GmbH,4,20.0,2,0,4587
2026-08-09,AI Weiterbildung,StackFuel GmbH,4,20.0,3,0,4587
2026-08-09,AI Weiterbildung,Smart Future Campus GmbH,3,15.0,1,0,4587
2026-08-09,AI Weiterbildung,ImpaQt Education Group,1,5.0,7,0,4587
2026-08-09,AI Weiterbildung,Berger Bildungsinstitut GmbH,1,5.0,8,0,4587
2026-08-09,AI Weiterbildung,Mentify Learn GmbH,1,5.0,10,0,4587
2026-08-09,AI Weiterbildung,Academy NH Süd,1,5.0,11,0,4587
2026-08-09,AI Weiterbildung,New Horizons München - IT Computer und BusinessTraining Trainings,1,5.0,12,0,4587
2026-08-09,AI Weiterbildung,Haiting GmbH,1,5.0,13,0,4587
2026-08-09,AI Weiterbildung,WBK Akademie GmbH,1,5.0,15,0,4587
2026-08-09,AI Weiterbildung,StartSteps Digital Education GmbH,1,5.0,16,0,4587
2026-08-09,AI Weiterbildung,inab - Ausbildungs- und Beschäftigungsgesellschaft des bfw mbH,1,5.0,19,0,4587
2026-08-09,AI-Kurs,New Horizons München - IT Computer und BusinessTraining Trainings,11,55.0,1,0,3647
2026-08-09,AI-Kurs,Academy NH Süd,8,40.0,2,0,3647
2026-08-09,AI-Kurs,Smart Future Campus GmbH,1,5.0,7,0,3647
2026-08-09,AI-Manager,Agile Heroes GmbH,5,25.0,3,0,1568
2026-08-09,AI-Manager,GrandEdu Media,2,10.0,2,0,1568
2026-08-09,AI-Manager,New Horizons München - IT Computer und BusinessTraining Trainings,2,10.0,7,0,1568
2026-08-09,AI-Manager,Academy NH Süd,2,10.0,8,0,1568
2026-08-09,AI-Manager,DBA Deutsche Business Akademie UG (haftungsbeschränkt) Anne Neubauer,1,5.0,1,0,1568
2026-08-09,AI-Manager,AI Transformation Institute (SCP.AI GmbH),1,5.0,10,0,1568
2026-08-09,AI-Manager,GrandEdu GmbH,1,5.0,12,0,1568
2026-08-09,AI-Manager,Karriere Tutor GmbH,1,5.0,13,0,1568
2026-08-09,AI-Manager,New Horizons Hamburg / Bremen,1,5.0,14,0,1568
2026-08-09,AI-Manager,mycareernow,1,5.0,15,0,1568
2026-08-09,AI-Manager,Akademie des deutschen Mittelstandes,1,5.0,17,0,1568
2026-08-09,AI-Manager,New Horizons Hannover/Leipzig,1,5.0,19,0,1568
2026-08-09,AI-Manager,IHK-Akademie Ostwestfalen GmbH,1,5.0,20,0,1568
2026-08-09,Bilder bearbeiten,WBS TRAINING SE,2,10.0,1,0,692
2026-08-09,Bilder bearbeiten,Business Trends Academy,2,10.0,3,0,692
2026-08-09,Bilder bearbeiten,New Horizons Akademie,2,10.0,12,0,692
2026-08-09,Bilder bearbeiten,New Horizons Nord,2,10.0,14,0,692
2026-08-09,Bilder bearbeiten,future Training & Consulting GmbH,2,10.0,16,0,692
