week,snapshot_date,course_id,title,keyword,rank,total_results
2026-W28,2026-07-06,10361929236,Online Advertising im Online Marketing,Online Marketing,3,5347
2026-W28,2026-07-06,10342369243,Online Marketing Manager Advanced,Online Marketing,119,5347
2026-W28,2026-07-06,10392169995,KI- und Online Marketing Manager,Online Marketing,254,5347
2026-W28,2026-07-06,10342369243,Online Marketing Manager Advanced,Online Marketing Manager,16,1909
2026-W28,2026-07-06,10392169995,KI- und Online Marketing Manager,Online Marketing Manager,29,1909
2026-W28,2026-07-06,10392170192,KI- und Online Marketing Manager Advanced,Online Marketing Manager,80,1909
2026-W28,2026-07-06,10338427399,E-Commerce Manager,Online Marketing Manager,120,1909
2026-W28,2026-07-06,10400859010,Performance Marketing Manager,Online Marketing Manager,135,1909
2026-W28,2026-07-06,10361929236,Online Advertising im Online Marketing,Online Marketing Manager,202,1909
2026-W28,2026-07-06,10340407616,Social Media Manager,Online Marketing Manager,207,1909
2026-W28,2026-07-06,10338895184,Social Media Advertising Manager,Online Marketing Manager,308,1909
2026-W28,2026-07-06,10342369243,Online Marketing Manager Advanced,Online Marketing Strategie,223,3056
2026-W28,2026-07-06,10392169995,KI- und Online Marketing Manager,Online Marketing Strategie,353,3056
2026-W28,2026-07-06,10392169995,KI- und Online Marketing Manager,Online Marketing Grundlagen,8,3590
2026-W28,2026-07-06,10392170192,KI- und Online Marketing Manager Advanced,Online Marketing Grundlagen,23,3590
2026-W28,2026-07-06,10389167529,Wordpress Grundlagen,Online Marketing Grundlagen,40,3590
2026-W28,2026-07-06,10361929236,Online Advertising im Online Marketing,Online Marketing Grundlagen,62,3590
2026-W28,2026-07-06,10342369243,Online Marketing Manager Advanced,Online Marketing Grundlagen,161,3590
2026-W28,2026-07-06,10400964812,Social Media Marketing & Content Management,Online Marketing Management,149,2760
2026-W28,2026-07-06,10342369243,Online Marketing Manager Advanced,Online Marketing Management,219,2760
2026-W28,2026-07-06,10361929236,Online Advertising im Online Marketing,Online Marketing lernen,2,2042
2026-W28,2026-07-06,10338426277,E-Commerce Shops und Online Plattformen,Online Marketing lernen,247,2042
2026-W28,2026-07-06,10342366414,Content Marketing,Online Marketing lernen,353,2042
2026-W28,2026-07-06,10389167529,Wordpress Grundlagen,Online Marketing lernen,464,2042
2026-W28,2026-07-06,10342369243,Online Marketing Manager Advanced,Online Marketing Manager Weiterbildung,22,1235
2026-W28,2026-07-06,10392169995,KI- und Online Marketing Manager,Online Marketing Manager Weiterbildung,38,1235
2026-W28,2026-07-06,10392170192,KI- und Online Marketing Manager Advanced,Online Marketing Manager Weiterbildung,67,1235
2026-W28,2026-07-06,10400859010,Performance Marketing Manager,Online Marketing Manager Weiterbildung,101,1235
2026-W28,2026-07-06,10338427399,E-Commerce Manager,Online Marketing Manager Weiterbildung,129,1235
2026-W28,2026-07-06,10340407616,Social Media Manager,Online Marketing Manager Weiterbildung,153,1235
2026-W28,2026-07-06,10361929236,Online Advertising im Online Marketing,Online Marketing Manager Weiterbildung,187,1235
2026-W28,2026-07-06,10338895184,Social Media Advertising Manager,Online Marketing Manager Weiterbildung,222,1235
2026-W28,2026-07-06,10342366414,Content Marketing,Online Marketing Manager Weiterbildung,467,1235
2026-W28,2026-07-06,10361929236,Online Advertising im Online Marketing,Online Marketing Kampagnen,74,2330
2026-W28,2026-07-06,10342369243,Online Marketing Manager Advanced,Online Marketing Kampagnen,213,2330
2026-W28,2026-07-06,10338431282,Inbound Marketing Experte,Online Marketing und Inbound Marketing,3,82
2026-W28,2026-07-06,10338428025,Performance Marketing Experte,Online Marketing und Inbound Marketing,16,82
